listing_id,source_key,source,source_type,market,country,make,model,year,km,mileage_mi,price,currency,price_usd,city,region,dealer_name,dealer_company,body_type,vin,vpic_body_class,vpic_gvwr,vpic_drive_type,vpic_engine,transmission,color,drive_type,usage_class,fifth_wheel_height_mm,spec_horsepower,spec_engine_type,spec_engine_manufacturer,spec_sleeper_type,spec_wheel_base,damaged,url,n_images,split,n_images_kept
018EA234,mascus,mascus.com,marketplace_dealer,US,United States,Peterbilt,389,2017,742626,,,USD,,Las Vegas,Nevada,,Ritchie Bros Las Vegas,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/peterbilt-389/3gbtdh6j.html,15,train,15
071779F1,mascus,mascus.com,marketplace_dealer,US,United States,Freightliner,Cascadia 126 6x4 T/A Sleeper Truck Tractor,2022,939398,,,USD,,Morris,Illinois,,Ritchie Bros Chicago,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/freightliner-cascadia-126-6x4-t-a-sleeper-truck-tractor/3m4maoig.html,15,train,14
08FF4D42,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T680 6x4 T/A Day Cab Truck Tractor,2016,,,,USD,,Chehalis,Washington,,Ritchie Bros Chehalis,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t680-6x4-t-a-day-cab-truck-tractor/3niu7s7h.html,15,train,14
0BEB99DD,mascus,mascus.com,marketplace_dealer,US,United States,Mack,CHU613,2014,579303,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/mack-chu613/3qhqcogs.html,15,train,15
0C0158EA,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T680,2024,373204,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t680/3r3g8nhp.html,15,train,15
0C8FEE65,mascus,mascus.com,marketplace_dealer,US,United States,Mack,CHU613,2017,733458,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/mack-chu613/3rbuht9k.html,15,train,14
131C78E6,mascus,mascus.com,marketplace_dealer,US,United States,International,ProStar 6x4 T/A Sleeper Truck Tractor (Inoperable),2017,,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/international-prostar-6x4-t-a-sleeper-truck-tractor-inoperable/4i4ranhl.html,15,test,15
1480EBCD,mascus,mascus.com,marketplace_dealer,US,United States,Freightliner,Cascadia 113,2016,894143,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/freightliner-cascadia-113/4jbfhqfs.html,15,train,15
15ED844F,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T800,2012,,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t800/4khsbj7u.html,15,train,15
2357E5A8,mascus,mascus.com,marketplace_dealer,US,United States,International,LT625,2019,,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/international-lt625/5i8mhkdn.html,15,train,14
2F3FF79E,mascus,mascus.com,marketplace_dealer,US,United States,International,LT625,2021,1171490,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/international-lt625/5u6uimct.html,15,train,15
31FE7F7A,mascus,mascus.com,marketplace_dealer,US,United States,International,LT625,2020,1388171,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/international-lt625/6gitauap.html,15,val,14
3879BD00,mascus,mascus.com,marketplace_dealer,US,United States,Peterbilt,567,2020,503279,,,USD,,North East,Maryland,,Ritchie Bros North East,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/peterbilt-567/6naoes3f.html,15,train,14
3997D683,mascus,mascus.com,marketplace_dealer,US,United States,Volvo,VNM,2014,,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/volvo-vnm/6ocmglbi.html,15,train,15
3E0BF0C4,mascus,mascus.com,marketplace_dealer,US,United States,Mack,CH612,2000,870238,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/mack-ch612/6t3qiffj.html,15,train,15
40ABAC54,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T680,2021,1229568,,,USD,,Perris,California,,Ritchie Bros Los Angeles,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t680/7fdqdr8j.html,15,train,14
46C0233F,mascus,mascus.com,marketplace_dealer,US,United States,,Frieghtliner Cascadia 125 T/A Day Cab Truck Tracto,2015,626998,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/frieghtliner-cascadia-125-t-a-day-cab-truck-tracto/7lff5i6u.html,15,val,15
47E9595F,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T800,2012,103632,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t800/7mho8o8u.html,15,train,15
4E0C9E45,mascus,mascus.com,marketplace_dealer,US,United States,Kenworth,T660,2013,890493,,,USD,,Lake Worth,Texas,,Ritchie Bros Fort Worth,tractor,,,,,,,,,,,,,,,,,https://www.mascus.com/transportation/tractor-units/kenworth-t660/7t3rct7k.html,15,train,14
